Final sampled training set size: 141674
Original brightness range: [1.283419239, 4.60300263267077]
Normalized brightness range: [0.0, 1.0]

Processing model: ['facebook/esm2_t6_8M_UR50D', 'hugohrban/progen2-large']

Processing model: facebook/esm2_t6_8M_UR50D
Processing 141674 valid sequences out of 141674 total sequences

Processing model: hugohrban/progen2-large
Processing 141674 valid sequences out of 141674 total sequences
Epoch [10/200], Train Loss: 0.0083, Val R²: 0.9063
Epoch [20/200], Train Loss: 0.0072, Val R²: 0.8987
Epoch [30/200], Train Loss: 0.0066, Val R²: 0.9013
Epoch [40/200], Train Loss: 0.0063, Val R²: 0.9089
Epoch [50/200], Train Loss: 0.0061, Val R²: 0.8929
Epoch [60/200], Train Loss: 0.0058, Val R²: 0.9143
Epoch [70/200], Train Loss: 0.0057, Val R²: 0.9099
Epoch [80/200], Train Loss: 0.0055, Val R²: 0.9130
Epoch [90/200], Train Loss: 0.0052, Val R²: 0.8969
Epoch [100/200], Train Loss: 0.0051, Val R²: 0.9100
Epoch [110/200], Train Loss: 0.0050, Val R²: 0.9064
Epoch [120/200], Train Loss: 0.0048, Val R²: 0.9055
Epoch [130/200], Train Loss: 0.0046, Val R²: 0.9130
Epoch [140/200], Train Loss: 0.0044, Val R²: 0.9047
Epoch [150/200], Train Loss: 0.0043, Val R²: 0.8909
Epoch [160/200], Train Loss: 0.0042, Val R²: 0.9059
Epoch [170/200], Train Loss: 0.0042, Val R²: 0.9084
Epoch [180/200], Train Loss: 0.0041, Val R²: 0.9034
Epoch [190/200], Train Loss: 0.0039, Val R²: 0.8950
Epoch [200/200], Train Loss: 0.0040, Val R²: 0.9021

Best model saved to models/best_model_DL_3nn_nodrop_ep100_seed42_LLMonly.pth
